text,cui,name,start,end,relevance,presence,laterality (generic)
lofepramine poisoning negative,290841006,lofepramine poisoning,0,21,present,negated,none
"closed injury, femoral vein absent",210869006,"closed injury, femoral vein",0,27,present,negated,none
neoplasm of cystic duct absent,126856000,neoplasm of cystic duct,0,23,present,negated,none
erosive esophagitis ruled out,40719004,erosive esophagitis,0,19,present,negated,none
absent zonular nonsenile cataract,699520009,zonular nonsenile cataract,7,33,present,negated,none
no polyp of tympanic membrane,232246001,polyp of tympanic membrane,3,29,present,negated,none
acute tracheitis excluded,26650005,acute tracheitis,0,16,present,negated,none
without eccentric personality disorder,191772006,eccentric personality disorder,8,38,present,negated,none
without moraxella infection of skin,238426002,moraxella infection of skin,8,35,present,negated,none
absent right atrial dilatation,253350005,right atrial dilatation,7,30,present,negated,none
aphakia of left eye no,341991000119100,aphakia of left eye,0,19,present,negated,left
no evidence of cerebellar hematoma,301765007,cerebellar hematoma,15,34,present,negated,none
necrosis of myocutaneous flap excluded,733207001,necrosis of myocutaneous flap,0,29,present,negated,none
absence of signs and symptoms of chronic radiation otitis externa,232237007,chronic radiation otitis externa,33,65,present,negated,none
acute pneumococcal pharyngitis none,195659006,acute pneumococcal pharyngitis,0,30,present,negated,none
absent fetal ascites causing disproportion,8884000,fetal ascites causing disproportion,7,42,present,negated,none
"didnt maroteaux-lamy syndrome, intermediate form",26015003,"maroteaux-lamy syndrome, intermediate form",6,48,present,negated,none
absence of intentional vindesine poisoning,290771009,intentional vindesine poisoning,11,42,present,negated,none
absence of benign neoplasm of subglottis,92412003,benign neoplasm of subglottis,11,40,present,negated,none
cysticercosis none,59051007,cysticercosis,0,13,present,negated,none
acute orchitis neg,45082006,acute orchitis,0,14,present,negated,none
animal bite of hip ruled out,283824007,animal bite of hip,0,18,present,negated,none
absent deficiency of glutaminase,124507006,deficiency of glutaminase,7,32,present,negated,none
no dysplasia of prostate,445068007,dysplasia of prostate,3,24,present,negated,none
lyell syndrome negative,768962006,lyell syndrome,0,14,present,negated,none
no localized non-hereditary amyloidosis,237875007,localized non-hereditary amyloidosis,3,39,present,negated,none
absence of signs and symptoms of fistula of thoracic duct,60912005,fistula of thoracic duct,33,57,present,negated,none
unlikely slit ventricle syndrome,431468008,slit ventricle syndrome,9,32,present,negated,none
chronic ectopic atrial tachycardia negative,26950008,chronic ectopic atrial tachycardia,0,34,present,negated,none
trivittatus fever none,240507007,trivittatus fever,0,17,present,negated,none
primary cardiomyopathy none,89461002,primary cardiomyopathy,0,22,present,negated,none
pentastarch adverse reaction ruled out,293311002,pentastarch adverse reaction,0,28,present,negated,none
absent ectromelia of upper limb,29155003,ectromelia of upper limb,7,31,present,negated,none
acute pyonephrosis negative,197770008,acute pyonephrosis,0,18,present,negated,none
cutaneous rhinosporidiosis negative,240753003,cutaneous rhinosporidiosis,0,26,present,negated,none
familial methionine malabsorption negative,45812003,familial methionine malabsorption,0,33,present,negated,none
pseudoaneurysm none,443089001,pseudoaneurysm,0,14,present,negated,none
pressure ulcer of elbow negative,225559007,pressure ulcer of elbow,0,23,present,negated,none
carbuncle of breast not present,85471005,carbuncle of breast,0,19,present,negated,none
reactive airway disease neg,991000119106,reactive airway disease,0,23,present,negated,none
accidental desipramine overdose no,295853008,accidental desipramine overdose,0,31,present,negated,none
neutropaenic enterocolitis no,240358005,neutropaenic enterocolitis,0,26,present,negated,none
congenital arteriovenous fistula hemorrhage neg,234155009,congenital arteriovenous fistula hemorrhage,0,43,present,negated,none
dermoid cyst of conjunctiva none,830025004,dermoid cyst of conjunctiva,0,27,present,negated,none
triazole antifungals adverse reaction absent,292823007,triazole antifungals adverse reaction,0,37,present,negated,none
absent acute renal impairment,236424009,acute renal impairment,7,29,present,negated,none
no evidence of superficial nonerosive nonspecific gastritis,35223008,superficial nonerosive nonspecific gastritis,15,59,present,negated,none
mupirocin adverse reaction not present,292942005,mupirocin adverse reaction,0,26,present,negated,none
oral mucosal viral disease not present,235054004,oral mucosal viral disease,0,26,present,negated,none
absent erythrocyte enzyme deficiency,234401000,erythrocyte enzyme deficiency,7,36,present,negated,none
lobar holoprosencephaly not present,253136007,lobar holoprosencephaly,0,23,present,negated,none
papillary muscle atrophy neg,195141007,papillary muscle atrophy,0,24,present,negated,none
absence of blepharospasm,59026006,blepharospasm,11,24,present,negated,none
lack of uncomplicated tooth crown fracture,263271000,uncomplicated tooth crown fracture,8,42,present,negated,none
volatile inhalant-induced psychosis none,943151000000109,volatile inhalant-induced psychosis,0,35,present,negated,none
absent danthron poisoning,290432005,danthron poisoning,7,25,present,negated,none
traumatic urticaria no,74026008,traumatic urticaria,0,19,present,negated,none
accidental trichomycin poisoning neg,291435000,accidental trichomycin poisoning,0,32,present,negated,none
denies occupational cancer of skin,722712000,occupational cancer of skin,7,34,present,negated,none
denies chronic orchitis,10194007,chronic orchitis,7,23,present,negated,none
chronic post-traumatic stress disorder not detected,313182004,chronic post-traumatic stress disorder,0,38,present,negated,none
absence of signs and symptoms of hypoplasia of auditory canal,762662004,hypoplasia of auditory canal,33,61,present,negated,none
absence of signs and symptoms of chronic progressive renal failure,425369003,chronic progressive renal failure,33,66,present,negated,none
absence of signs and symptoms of malignant glioma of brainstem,424276002,malignant glioma of brainstem,33,62,present,negated,none
toxoplasmosis of multiple sites none,187199009,toxoplasmosis of multiple sites,0,31,present,negated,none
without mention of tranylcypromine poisoning,290872005,tranylcypromine poisoning,19,44,present,negated,none
pneumococcal lobar pneumonia negative,266350000,pneumococcal lobar pneumonia,0,28,present,negated,none
hepatoptosis neg,50701000,hepatoptosis,0,12,present,negated,none
free from sodium ironedetate adverse reaction,293357000,sodium ironedetate adverse reaction,10,45,present,negated,none
absent poisoning caused by anticholinesterase,15649002,poisoning caused by anticholinesterase,7,45,present,negated,none
"absent closed fracture axis, tricolumnar",207902006,"closed fracture axis, tricolumnar",7,40,present,negated,none
absence of signs and symptoms of subretinal lipid deposit,247157006,subretinal lipid deposit,33,57,present,negated,none
disease caused by paramphistomatidae no,105666006,disease caused by paramphistomatidae,0,36,present,negated,none
not opsismodysplasia,254068007,opsismodysplasia,4,20,present,negated,none
absent rupture of chordae tendineae,274098004,rupture of chordae tendineae,7,35,present,negated,none
no tuberculosis of oropharynx,446753005,tuberculosis of oropharynx,3,29,present,negated,none
without mention of capillary-venous malformation,234133001,capillary-venous malformation,19,48,present,negated,none
carcinosarcoma of endometrium no,732201008,carcinosarcoma of endometrium,0,29,present,negated,none
"didnt volume depletion, extrarenal loss",44759006,"volume depletion, extrarenal loss",6,39,present,negated,none
panniculitis induced localized lipodystrophy neg,783014007,panniculitis induced localized lipodystrophy,0,44,present,negated,none
free from closed injury of kidney,210197003,closed injury of kidney,10,33,present,negated,none
disorder in spontaneous remission excluded,765209005,disorder in spontaneous remission,0,33,present,negated,none
no genetic lipodystrophy,724841000,genetic lipodystrophy,3,24,present,negated,none
wool alcohol adverse reaction none,292789000,wool alcohol adverse reaction,0,29,present,negated,none
lichenoid allergic contact dermatitis neg,238672005,lichenoid allergic contact dermatitis,0,37,present,negated,none
no evidence of trichodysplasia xeroderma syndrome,766812005,trichodysplasia xeroderma syndrome,15,49,present,negated,none
unlikely external hirudiniasis,1086871000119109,external hirudiniasis,9,30,present,negated,none
no evidence of malignant neuroma of mediastinum,278044006,malignant neuroma of mediastinum,15,47,present,negated,none
kaposi's sarcoma of lung not detected,109390005,kaposi's sarcoma of lung,0,24,present,negated,none
uremic gastritis neg,235659008,uremic gastritis,0,16,present,negated,none
absence of umbilical granuloma,200724002,umbilical granuloma,11,30,present,negated,none
astigmatism ruled out,82649003,astigmatism,0,11,present,negated,none
free from staphylococcal blepharitis,278808000,staphylococcal blepharitis,10,36,present,negated,none
syncope anginosa negative,21470009,syncope anginosa,0,16,present,negated,none
lack of uncomplicated non-allergic asthma,735589002,uncomplicated non-allergic asthma,8,41,present,negated,none
no bacterial sepsis of newborn,276669000,bacterial sepsis of newborn,3,30,present,negated,none
without follicular urethritis,89891003,follicular urethritis,8,29,present,negated,none
myeloproliferative hypereosinophilic syndrome negative,1153341001,myeloproliferative hypereosinophilic syndrome,0,45,present,negated,none
pulmonary decompression injury absent,241997003,pulmonary decompression injury,0,30,present,negated,none
congenital reticular ichthyosiform erythroderma neg,703504006,congenital reticular ichthyosiform erythroderma,0,47,present,negated,none
absent petit-mal epilepsy,509341000000107,petit-mal epilepsy,7,25,present,negated,none
traumatic arthropathy of hip none,201950002,traumatic arthropathy of hip,0,28,present,negated,none
"no open fracture fibula, head",208624005,"open fracture fibula, head",3,29,present,negated,none
mild pancreatic duct dysplasia not detected,308866007,mild pancreatic duct dysplasia,0,30,present,negated,none
tinea faciei neg,240696004,tinea faciei,0,12,present,negated,none
pneumatosis coli ruled out,117631000119103,pneumatosis coli,0,16,present,negated,none
denied open fracture radial styloid,208344005,open fracture radial styloid,7,35,present,negated,none
deficiency of dehydrogluconate dehydrogenase negative,124151009,deficiency of dehydrogluconate dehydrogenase,0,44,present,negated,none
talon cusp ruled out,234955005,talon cusp,0,10,present,negated,none
no cerebral folate transport deficiency,711403001,cerebral folate transport deficiency,3,39,present,negated,none
without acute cystitis,68226007,acute cystitis,8,22,present,negated,none
scapholunate advanced collapse negative,447775001,scapholunate advanced collapse,0,30,present,negated,none
foreign body in lens none,231969006,foreign body in lens,0,20,present,negated,none
unlikely benign cerebral tumor,275269004,benign cerebral tumor,9,30,present,negated,none
not cirrhosis of liver,19943007,cirrhosis of liver,4,22,present,negated,none
ectodermal dysplasia syndactyly syndrome none,771335004,ectodermal dysplasia syndactyly syndrome,0,40,present,negated,none
neg delusions of infestation,238974009,delusions of infestation,4,28,present,negated,none
"absence of signs and symptoms of diffuse non-hodgkin's lymphoma, undifferentiated",109964000,"diffuse non-hodgkin's lymphoma, undifferentiated",33,81,present,negated,none
no evidence of fetal epignathus,897278005,fetal epignathus,15,31,present,negated,none
fadogia homblei poisoning no,64948003,fadogia homblei poisoning,0,25,present,negated,none
denied lipedema,234102003,lipedema,7,15,present,negated,none
didnt infantile and/or juvenile cataract,342291000119102,infantile and/or juvenile cataract,6,40,present,negated,none
intentional phenylbutazone poisoning negative,290293000,intentional phenylbutazone poisoning,0,36,present,negated,none
"didnt oto-palato-digital syndrome, type i",54036001,"oto-palato-digital syndrome, type i",6,41,present,negated,none
alcohol-induced chronic pancreatitis ruled out,235952002,alcohol-induced chronic pancreatitis,0,36,present,negated,none
without deficiency of hypoxanthine phosphoribosyltransferase,124275001,deficiency of hypoxanthine phosphoribosyltransferase,8,60,present,negated,none
absence of signs and symptoms of acute exacerbation of bronchiectasis,445378003,acute exacerbation of bronchiectasis,33,69,present,negated,none
enostosis of right humerus none,15715801000119105,enostosis of right humerus,0,26,present,negated,right
absence of signs and symptoms of traumatic blister of back,271121003,traumatic blister of back,33,58,present,negated,none
no evidence of minor postpartum haemorrhage,1033571000000100,minor postpartum haemorrhage,15,43,present,negated,none
asymmetric mandibular arch form no,699718009,asymmetric mandibular arch form,0,31,present,negated,none
absence of laxative adverse reaction,292135009,laxative adverse reaction,11,36,present,negated,none
unlikely classic medulloblastoma,699704002,classic medulloblastoma,9,32,present,negated,none
rupture of bladder neg,251925007,rupture of bladder,0,18,present,negated,none
unlikely carbuncle of finger,52023002,carbuncle of finger,9,28,present,negated,none
contusion of wrist not detected,48123002,contusion of wrist,0,18,present,negated,none
disorder of frontal sinus negative,105973004,disorder of frontal sinus,0,25,present,negated,none
traumatic amputation neg,262595009,traumatic amputation,0,20,present,negated,none
postablative testicular hypofunction not detected,190552005,postablative testicular hypofunction,0,36,present,negated,none
acetylcholinesterase reactivator adverse reaction none,789255009,acetylcholinesterase reactivator adverse reaction,0,49,present,negated,none
generalized slight chronic periodontitis neg,718060003,generalized slight chronic periodontitis,0,40,present,negated,none
denies bancroftian elephantiasis,91586009,bancroftian elephantiasis,7,32,present,negated,none
androgen receptor absent not detected,237806007,androgen receptor absent,0,24,present,negated,none
without skin tag,201091002,skin tag,8,16,present,negated,none
situs inversus thoracis excluded,70978004,situs inversus thoracis,0,23,present,negated,none
hemorrhage of muscle not detected,95422003,hemorrhage of muscle,0,20,present,negated,none
no sprain of radioscaphocapitate ligament,209445004,sprain of radioscaphocapitate ligament,3,41,present,negated,none
poisoning caused by cycloserine none,55082002,poisoning caused by cycloserine,0,31,present,negated,none
denied cholera,63650001,cholera,7,14,present,negated,none
absent deep avulsion wound,262565001,deep avulsion wound,7,26,present,negated,none
lesser sac abscess none,235996002,lesser sac abscess,0,18,present,negated,none
alcoholic paranoia not detected,191478006,alcoholic paranoia,0,18,present,negated,none
astragaloscaphoid synostosis ruled out,82785005,astragaloscaphoid synostosis,0,28,present,negated,none
alcohol-induced pseudo-cushing's syndrome none,237738005,alcohol-induced pseudo-cushing's syndrome,0,41,present,negated,none
theophylline overdose not present,296442001,theophylline overdose,0,21,present,negated,none
free from poisoning caused by antirheumatic,111762003,poisoning caused by antirheumatic,10,43,present,negated,none
ectopic spleen not detected,65146007,ectopic spleen,0,14,present,negated,none
cartilaginous eustachian tube obstruction ruled out,194273004,cartilaginous eustachian tube obstruction,0,41,present,negated,none
retinal pigment epithelium atrophy no,421506003,retinal pigment epithelium atrophy,0,34,present,negated,none
diarrheal disorder ruled out,128333008,diarrheal disorder,0,18,present,negated,none
no cutaneous sarcoidosis,55941000,cutaneous sarcoidosis,3,24,present,negated,none
fibrosis of spermatic cord no,29935003,fibrosis of spermatic cord,0,26,present,negated,none
no deficiency of fructokinase,124300009,deficiency of fructokinase,3,29,present,negated,none
foreign body of foot not present,281164004,foreign body of foot,0,20,present,negated,none
absent deficiency of pectin methoxylase,360664004,deficiency of pectin methoxylase,7,39,present,negated,none
absence of cavernous lymphangioma of skin,254793001,cavernous lymphangioma of skin,11,41,present,negated,none
never mother-daughter symbiotic syndrome,129607003,mother-daughter symbiotic syndrome,6,40,present,negated,none
denied acquired curly toe,240257003,acquired curly toe,7,25,present,negated,none
neg obturator nerve paralysis,252794008,obturator nerve paralysis,4,29,present,negated,none
lateral plantar neuropathy negative,60525009,lateral plantar neuropathy,0,26,present,negated,none
no benign neoplasm of epicardium,92087008,benign neoplasm of epicardium,3,32,present,negated,none
poisoning caused by ethosuximide absent,25599007,poisoning caused by ethosuximide,0,32,present,negated,none
absence of signs and symptoms of recurrent dislocation of elbow,202222009,recurrent dislocation of elbow,33,63,present,negated,none
intraosseous lipoma not detected,699538007,intraosseous lipoma,0,19,present,negated,none
polychlorinated biphenyl poisoning no,90794007,polychlorinated biphenyl poisoning,0,34,present,negated,none
diffuse injury of brainstem ruled out,721332003,diffuse injury of brainstem,0,27,present,negated,none
complication occurring during pregnancy ruled out,609496007,complication occurring during pregnancy,0,39,present,negated,none
cerebral arterial thrombosis neg,71444005,cerebral arterial thrombosis,0,28,present,negated,none
jamestown canyon virus disease none,41723001,jamestown canyon virus disease,0,30,present,negated,none
occupational bronchitis no,49691004,occupational bronchitis,0,23,present,negated,none
neg vascular graft twisting,234196007,vascular graft twisting,4,27,present,negated,none
free from giant cell pneumonia,233625007,giant cell pneumonia,10,30,present,negated,none
crushing injury of scrotum not detected,79555006,crushing injury of scrotum,0,26,present,negated,none
autosomal dominant retinitis pigmentosa not detected,232052009,autosomal dominant retinitis pigmentosa,0,39,present,negated,none
"without mention of abrasion wrist, volar",211253000,"abrasion wrist, volar",19,40,present,negated,none
absent invasive aspergillosis,721798004,invasive aspergillosis,7,29,present,negated,none
no evidence of anogenital warts,240542006,anogenital warts,15,31,present,negated,none
persistent fetal uterus not present,12316007,persistent fetal uterus,0,23,present,negated,none
absent idiosyncratic drug effect,33845003,idiosyncratic drug effect,7,32,present,negated,none
infective cystitis not present,236620008,infective cystitis,0,18,present,negated,none
deficiency of ribokinase excluded,124310000,deficiency of ribokinase,0,24,present,negated,none
absent early neonatal hypocalcemic tetany,276631005,early neonatal hypocalcemic tetany,7,41,present,negated,none
deficiency of argininosuccinate synthase absent,124711003,deficiency of argininosuccinate synthase,0,40,present,negated,none
absent toxic effect of nitroglycol,69623000,toxic effect of nitroglycol,7,34,present,negated,none
paecilomycosis negative,61782002,paecilomycosis,0,14,present,negated,none
without mention of spondylocamptodactyly syndrome,716231009,spondylocamptodactyly syndrome,19,49,present,negated,none
cirrhosis secondary to cholestasis neg,271440004,cirrhosis secondary to cholestasis,0,34,present,negated,none
bleeding hemorrhoids excluded,51551000,bleeding hemorrhoids,0,20,present,negated,none
not intentional cephalexin poisoning,291563000,intentional cephalexin poisoning,4,36,present,negated,none
without mention of ring staphyloma,5299007,ring staphyloma,19,34,present,negated,none
"abrasion of thigh, infected no",211338005,"abrasion of thigh, infected",0,27,present,negated,none
absence of inferior tracheobronchial lymphadenopathy,127105001,inferior tracheobronchial lymphadenopathy,11,52,present,negated,none
denies infantile pustular psoriasis,238616004,infantile pustular psoriasis,7,35,present,negated,none
cyst of testis excluded,767754009,cyst of testis,0,14,present,negated,none
lack of fetal macrocephaly,431770003,fetal macrocephaly,8,26,present,negated,none
pontine artery thrombosis no,408665008,pontine artery thrombosis,0,25,present,negated,none
absence of acute myelofibrosis,109991003,acute myelofibrosis,11,30,present,negated,none
neonatal pneumonia none,233619008,neonatal pneumonia,0,18,present,negated,none
lack of congenital hypoplasia of tibia,93298007,congenital hypoplasia of tibia,8,38,present,negated,none
no evidence of congenital pulmonary arteriovenous aneurysm,27986000,congenital pulmonary arteriovenous aneurysm,15,58,present,negated,none
unlikely burn of perineum,284219006,burn of perineum,9,25,present,negated,none
dydrogesterone adverse reaction negative,293209009,dydrogesterone adverse reaction,0,31,present,negated,none
hypnogogic exploding head syndrome negative,724752004,hypnogogic exploding head syndrome,0,34,present,negated,none
semimembranosus bursitis no,240004005,semimembranosus bursitis,0,24,present,negated,none
no burn of left ear,12065591000119100,burn of left ear,3,19,present,negated,left
brachyolmia negative,254088006,brachyolmia,0,11,present,negated,none
absence of epigastric hernia with gangrene,196880006,epigastric hernia with gangrene,11,42,present,negated,none
no evidence of isocyanate induced asthma,404808000,isocyanate induced asthma,15,40,present,negated,none
absent deficiency of a-ase,361086006,deficiency of a-ase,7,26,present,negated,none
acute alcoholic myopathy none,838386008,acute alcoholic myopathy,0,24,present,negated,none
absent lithium citrate adverse reaction,292278006,lithium citrate adverse reaction,7,39,present,negated,none
candida pyelonephritis negative,236378005,candida pyelonephritis,0,22,present,negated,none
"denied open crush injury, knee",211599004,"open crush injury, knee",7,30,present,negated,none
cord beside head no,237306003,cord beside head,0,16,present,negated,none
oxalate nephropathy neg,69718008,oxalate nephropathy,0,19,present,negated,none
abscess of shoulder absent,17354003,abscess of shoulder,0,19,present,negated,none
secondary iris atrophy not detected,231949001,secondary iris atrophy,0,22,present,negated,none
not injury of lower leg,125602001,injury of lower leg,4,23,present,negated,none
papilloma of bronchus none,254623003,papilloma of bronchus,0,21,present,negated,none
sarcoid arthritis none,361198004,sarcoid arthritis,0,17,present,negated,none
divergent microtropia ruled out,246744000,divergent microtropia,0,21,present,negated,none
intentional netilmicin poisoning not detected,291490007,intentional netilmicin poisoning,0,32,present,negated,none
mechanical hemolytic anemia excluded,191217008,mechanical hemolytic anemia,0,27,present,negated,none
diphenylpyraline overdose negative,296421003,diphenylpyraline overdose,0,25,present,negated,none
encrusted cystitis absent,783184003,encrusted cystitis,0,18,present,negated,none
uremic stomatitis negative,109774008,uremic stomatitis,0,17,present,negated,none
obliterative cholangitis none,197439004,obliterative cholangitis,0,24,present,negated,none
secondary nonischemic congestive cardiomyopathy not detected,699668009,secondary nonischemic congestive cardiomyopathy,0,47,present,negated,none
absent abuse of herbal medicine,280984005,abuse of herbal medicine,7,31,present,negated,none
vitiligo of pinta absent,56347002,vitiligo of pinta,0,17,present,negated,none
no familial cardiomyopathy,35728003,familial cardiomyopathy,3,26,present,negated,none
alopecia hereditaria ruled out,201144006,alopecia hereditaria,0,20,present,negated,none
negative secondary eczematous condition,402586007,secondary eczematous condition,9,39,present,negated,none
complete trisomy 10 syndrome neg,77807009,complete trisomy 10 syndrome,0,28,present,negated,none
no acquired generalized lipodystrophy,86907008,acquired generalized lipodystrophy,3,37,present,negated,none
rupture of fallopian tube negative,32587001,rupture of fallopian tube,0,25,present,negated,none
homonymous diplopia none,251755005,homonymous diplopia,0,19,present,negated,none
reactive arthropathy of hip no,201567003,reactive arthropathy of hip,0,27,present,negated,none
absence of signs and symptoms of contusion of bronchus,282723003,contusion of bronchus,33,54,present,negated,none
absence of signs and symptoms of accidental ceftazidime overdose,296714002,accidental ceftazidime overdose,33,64,present,negated,none
denies injection site anesthesia,95398006,injection site anesthesia,7,32,present,negated,none
achromic nevus ruled out,403541001,achromic nevus,0,14,present,negated,none
no evidence of irreducible left femoral hernia,764808002,irreducible left femoral hernia,15,46,present,negated,left
congenital transverse mandibular hyperplasia absent,109519006,congenital transverse mandibular hyperplasia,0,44,present,negated,none
uremic gastritis none,235659008,uremic gastritis,0,16,present,negated,none
no 13q partial monosomy syndrome,29257000,13q partial monosomy syndrome,3,32,present,negated,none
root caries excluded,234975001,root caries,0,11,present,negated,none
ganglion of hip none,767185006,ganglion of hip,0,15,present,negated,none
no twin placenta,60574005,twin placenta,3,16,present,negated,none
absence of signs and symptoms of congenital heart disease,13213009,congenital heart disease,33,57,present,negated,none
not infectious neonatal hepatitis,111892001,infectious neonatal hepatitis,4,33,present,negated,none
lack of harmful use of steroids,1094131000000101,harmful use of steroids,8,31,present,negated,none
no beau's lines,44087005,beau's lines,3,15,present,negated,none
neg mesenteroaxial gastric volvulus,35865007,mesenteroaxial gastric volvulus,4,35,present,negated,none
leakage from pyloroplasty negative,446431009,leakage from pyloroplasty,0,25,present,negated,none
no evidence of recurrent femoral hernia,773661002,recurrent femoral hernia,15,39,present,negated,none
absence of signs and symptoms of intestinal autonomic neuropathy,45299002,intestinal autonomic neuropathy,33,64,present,negated,none
hemorrhagic complication of pregnancy excluded,106004004,hemorrhagic complication of pregnancy,0,37,present,negated,none
open subluxation c6/c7 none,209159002,open subluxation c6/c7,0,22,present,negated,none
absence of closed dislocation c4/c5,269119005,closed dislocation c4/c5,11,35,present,negated,none
absent perinatal thrombocytopenia,273986001,perinatal thrombocytopenia,7,33,present,negated,none
deficiency of acetyl-coa hydrolase none,360733009,deficiency of acetyl-coa hydrolase,0,34,present,negated,none
klippel-feil sequence none,5601008,klippel-feil sequence,0,21,present,negated,none
absence of signs and symptoms of chronic osteomyelitis,40970001,chronic osteomyelitis,33,54,present,negated,none
absence of postartificial menopausal syndrome,31351009,postartificial menopausal syndrome,11,45,present,negated,none
fracture blister not present,282013001,fracture blister,0,16,present,negated,none
intentional lormetazepam overdose none,296068003,intentional lormetazepam overdose,0,33,present,negated,none
flaccid tetraplegia absent,192964002,flaccid tetraplegia,0,19,present,negated,none
acute esotropia not detected,413437007,acute esotropia,0,15,present,negated,none
free from frontal encephalocele,253103006,frontal encephalocele,10,31,present,negated,none
acute phlegmonous laryngitis none,195683003,acute phlegmonous laryngitis,0,28,present,negated,none
hepatitis c genotype 3 no,824871000000104,hepatitis c genotype 3,0,22,present,negated,none
no cord beside head,237306003,cord beside head,3,19,present,negated,none
absent deficiency of lyase,124592006,deficiency of lyase,7,26,present,negated,none
denies lung consolidation,95436008,lung consolidation,7,25,present,negated,none
no evidence of neoplasm of mandible,126551000,neoplasm of mandible,15,35,present,negated,none
no congenital misalignment of sternebra,93381009,congenital misalignment of sternebra,3,39,present,negated,none
systemic fibrinogenolysis neg,10153004,systemic fibrinogenolysis,0,25,present,negated,none
no neoplasm of cecum,126839008,neoplasm of cecum,3,20,present,negated,none
absence of open fracture of tooth,11315361000119100,open fracture of tooth,11,33,present,negated,none
shoulder girdle dystocia excluded,89700002,shoulder girdle dystocia,0,24,present,negated,none
antibiotic-associated diarrhea negative,301469002,antibiotic-associated diarrhea,0,30,present,negated,none
absence of collar of stokes,24187003,collar of stokes,11,27,present,negated,none
unlikely burn erythema of tongue,110234002,burn erythema of tongue,9,32,present,negated,none
renal agenesis and dysgenesis neg,204938007,renal agenesis and dysgenesis,0,29,present,negated,none
denied duodenitis caused by cytomegalovirus,840504006,duodenitis caused by cytomegalovirus,7,43,present,negated,none
convergence palsy not detected,194132009,convergence palsy,0,17,present,negated,none
free from 5-hydroxytryptamine-3-receptor antagonist poisoning,290424002,5-hydroxytryptamine-3-receptor antagonist poisoning,10,61,present,negated,none
contusion neg,125667009,contusion,0,9,present,negated,none
anal spasm no,17440005,anal spasm,0,10,present,negated,none
no autoimmune cholangitis,713654004,autoimmune cholangitis,3,25,present,negated,none
free from tryptophan malabsorption syndrome,59531002,tryptophan malabsorption syndrome,10,43,present,negated,none
without mention of cellulitis of digit,19240003,cellulitis of digit,19,38,present,negated,none
absence of signs and symptoms of saponaria officinalis poisoning,47877004,saponaria officinalis poisoning,33,64,present,negated,none
alpha-2-antitrypsin deficiency not detected,312857009,alpha-2-antitrypsin deficiency,0,30,present,negated,none
absent gonadotroph adenoma,254960002,gonadotroph adenoma,7,26,present,negated,none
bilateral parasagittal parieto-occipital polymicrogyria none,890288008,bilateral parasagittal parieto-occipital polymicrogyria,0,55,present,negated,none
hypokalemic acidosis neg,237851007,hypokalemic acidosis,0,20,present,negated,none
no thrombocytosis,6631009,thrombocytosis,3,17,present,negated,none
absence of signs and symptoms of disease caused by neisseria,409790005,disease caused by neisseria,33,60,present,negated,none
stab wound of ankle excluded,283488004,stab wound of ankle,0,19,present,negated,none
absence of signs and symptoms of generalized non-convulsive absence epilepsy,698760002,generalized non-convulsive absence epilepsy,33,76,present,negated,none
dactinomycin overdose excluded,295659005,dactinomycin overdose,0,21,present,negated,none
negative cardiocranial syndrome pfeiffer type,720606005,cardiocranial syndrome pfeiffer type,9,45,present,negated,none
acute lymphangitis of toe negative,128282005,acute lymphangitis of toe,0,25,present,negated,none
no evidence of thiazide diuretic adverse reaction,293454008,thiazide diuretic adverse reaction,15,49,present,negated,none
osteoarthritis deformans absent,254779008,osteoarthritis deformans,0,24,present,negated,none
lack of malignant melanoma of iris,255012009,malignant melanoma of iris,8,34,present,negated,none
unlikely obstruction of eustachian tube,48145001,obstruction of eustachian tube,9,39,present,negated,none
absence of signs and symptoms of disorder of ear,25906001,disorder of ear,33,48,present,negated,none
not deficiency of allantoinase,124517001,deficiency of allantoinase,4,30,present,negated,none
accidental vincristine overdose excluded,295792007,accidental vincristine overdose,0,31,present,negated,none
eosinophilic spongiosis (prebullous pemphigoid) excluded,402436004,eosinophilic spongiosis,0,47,present,negated,none
cinchocaine overdose neg,295554008,cinchocaine overdose,0,20,present,negated,none
"absent miliaria rubra, infantile",402822004,"miliaria rubra, infantile",7,32,present,negated,none
unlikely giant right atrium,253351009,giant right atrium,9,27,present,negated,none
xanthoma of bone negative,765481009,xanthoma of bone,0,16,present,negated,none
congestive splenomegaly no,19058002,congestive splenomegaly,0,23,present,negated,none
no gonorrhea with local complication,240572000,gonorrhea with local complication,3,36,present,negated,none
inadequate peritoneal dialysis not detected,702634004,inadequate peritoneal dialysis,0,30,present,negated,none
stress fracture of fibula not present,442538002,stress fracture of fibula,0,25,present,negated,none
not dyschondrosteosis and nephritis syndrome,722433005,dyschondrosteosis and nephritis syndrome,4,44,present,negated,none
cutaneous anthrax negative,84980006,cutaneous anthrax,0,17,present,negated,none
no 7q partial monosomy,81304006,7q partial monosomy,3,22,present,negated,none
positive dysphotopsia excluded,418175004,positive dysphotopsia,0,21,present,negated,none
didnt bipartite right ventricle,448162007,bipartite right ventricle,6,31,present,negated,none
abdominal cavity injury absent,284005003,abdominal cavity injury,0,23,present,negated,none
without disseminated herpes simplex,13710008,disseminated herpes simplex,8,35,present,negated,none
prolapsed lumbar intervertebral disc neg,202708005,prolapsed lumbar intervertebral disc,0,36,present,negated,none
